case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
5,,,1.6e-05,
6,,,2.4999999999999998e-05,
7,,,1.9999999999999998e-05,
8,,,1.8e-05,
9,,,1.9999999999999998e-05,
10,,,1.6e-05,
1,,,,2.4999999999999998e-05
2,,,,1.7e-05
3,,,,1.9e-05
4,,,,1.6e-05
5,,,,1.8e-05
6,,,,1.7999999999999997e-05
7,,,,1.7e-05
8,,,,3.7000000000000005e-05
9,,,,1.4e-05
10,,,,1.7e-05
1,3.4e-05,,,
2,3.7e-05,,,
3,3.5e-05,,,
4,5.9999999999999995e-05,,,
5,3.6e-05,,,
6,3.2e-05,,,
7,3.2e-05,,,
8,3.5e-05,,,
9,3.5e-05,,,
10,3.3e-05,,,
1,,1.9e-05,,
2,,1.4999999999999999e-05,,
3,,1.8e-05,,
4,,1.9e-05,,
5,,3.3e-05,,
6,,5.1e-05,,
7,,2.3e-05,,
8,,2.3e-05,,
9,,1.8e-05,,
10,,1.8999999999999998e-05,,
1,,,1.5e-05,
2,,,1.6e-05,
3,,,1.9e-05,
4,,,1.6e-05,
5,,,1.7e-05,
6,,,1.6e-05,
7,,,1.6e-05,
8,,,1.6e-05,
9,,,1.7999999999999997e-05,
10,,,1.4e-05,
1,,,,2.3e-05
2,,,,4.7e-05
3,,,,1.7e-05
4,,,,1.7e-05
5,,,,1.6e-05
6,,,,3.1e-05
7,,,,3.2e-05
8,,,,1.6e-05
9,,,,1.6e-05
10,,,,1.6e-05
1,3.2999999999999996e-05,,,
2,9.5e-05,,,
3,3.5e-05,,,
4,3.5e-05,,,
5,3.3e-05,,,
6,4.2e-05,,,
7,3.4e-05,,,
8,3.9e-05,,,
9,3.8e-05,,,
10,3.6e-05,,,
1,,3.5999999999999994e-05,,
2,,1.9999999999999998e-05,,
3,,1.8999999999999998e-05,,
4,,1.7999999999999997e-05,,
5,,1.7e-05,,
6,,1.9999999999999998e-05,,
7,,1.8e-05,,
8,,1.7e-05,,
9,,1.9e-05,,
10,,1.9e-05,,
1,,,1.4e-05,
2,,,1.7e-05,
3,,,1.8e-05,
4,,,1.6e-05,
5,,,1.6e-05,
6,,,1.8e-05,
7,,,1.6e-05,
8,,,1.7e-05,
9,,,1.4999999999999999e-05,
10,,,1.6e-05,
1,,,,2.7e-05
2,,,,1.7e-05
3,,,,1.7e-05
4,,,,1.4e-05
5,,,,1.6e-05
6,,,,1.9999999999999998e-05
7,,,,1.9999999999999998e-05
8,,,,1.6e-05
9,,,,1.7e-05
10,,,,1.6e-05
1,3.5e-05,,,
2,3.8e-05,,,
3,3.4e-05,,,
4,3.2e-05,,,
5,3.2e-05,,,
6,3.6e-05,,,
7,3.5e-05,,,
8,3.4e-05,,,
9,6.4e-05,,,
10,3.3e-05,,,
1,,1.6e-05,,
2,,2.1e-05,,
3,,2.1e-05,,
4,,5.9e-05,,
5,,2.1e-05,,
6,,1.8999999999999998e-05,,
7,,1.9999999999999998e-05,,
8,,1.8999999999999998e-05,,
9,,1.8999999999999998e-05,,
10,,1.5e-05,,
1,,,1.6e-05,
2,,,1.8e-05,
3,,,1.7e-05,
4,,,1.6e-05,
5,,,1.6e-05,
6,,,1.7e-05,
7,,,1.6e-05,
8,,,1.7e-05,
9,,,2.1e-05,
10,,,1.9999999999999998e-05,
1,,,,3.0999999999999995e-05
2,,,,2.8e-05
3,,,,1.6e-05
4,,,,1.8e-05
5,,,,4.9e-05
6,,,,1.8e-05
7,,,,1.3e-05
8,,,,1.7999999999999997e-05
9,,,,1.7e-05
10,,,,1.4999999999999999e-05
1,3.2999999999999996e-05,,,
2,3.1e-05,,,
3,3.6e-05,,,
4,3.5e-05,,,
5,3.4e-05,,,
6,3.3e-05,,,
7,3.8e-05,,,
8,3.7e-05,,,
9,3.3e-05,,,
10,3.5e-05,,,
1,,1.7e-05,,
2,,1.9e-05,,
3,,1.7e-05,,
4,,1.8999999999999998e-05,,
5,,1.8e-05,,
6,,1.9e-05,,
7,,1.9999999999999998e-05,,
8,,1.6e-05,,
9,,1.7e-05,,
10,,1.9e-05,,
1,,,1.3000000000000001e-05,
2,,,1.4e-05,
3,,,1.6e-05,
4,,,1.6e-05,
5,,,1.9e-05,
6,,,1.6e-05,
7,,,1.5e-05,
8,,,1.6e-05,
9,,,1.5e-05,
10,,,1.8e-05,
1,,,,2.5999999999999995e-05
2,,,,1.5e-05
3,,,,1.3000000000000001e-05
4,,,,1.6e-05
5,,,,6.9e-05
6,,,,3.6e-05
7,,,,1.5e-05
8,,,,1.6e-05
9,,,,1.8e-05
10,,,,1.4e-05
1,4.4e-05,,,
2,3.2999999999999996e-05,,,
3,3.9e-05,,,
4,3.4e-05,,,
5,4.4e-05,,,
6,3.4e-05,,,
7,5.7999999999999994e-05,,,
8,3.4e-05,,,
9,3.5e-05,,,
10,3.3e-05,,,
1,,2.7e-05,,
2,,1.7999999999999997e-05,,
3,,2.3999999999999997e-05,,
4,,2.6e-05,,
5,,2.3999999999999997e-05,,
6,,2.6e-05,,
7,,1.9999999999999998e-05,,
8,,2.8e-05,,
9,,2.2999999999999997e-05,,
10,,2.6e-05,,
1,,,1.7e-05,
2,,,1.7999999999999997e-05,
3,,,2.4999999999999998e-05,
4,,,1.9e-05,
5,,,1.6e-05,
6,,,1.8999999999999998e-05,
7,,,1.4e-05,
8,,,1.9999999999999998e-05,
9,,,3.9e-05,
10,,,3.1e-05,
1,,,,2.7999999999999996e-05
2,,,,1.7e-05
3,,,,1.5e-05
4,,,,1.7e-05
5,,,,1.7e-05
6,,,,1.7999999999999997e-05
7,,,,1.6e-05
8,,,,3.9e-05
9,,,,2.7e-05
10,,,,1.9999999999999998e-05
1,4.3e-05,,,
2,8.6e-05,,,
3,3.9e-05,,,
4,4.8e-05,,,
5,5.199999999999999e-05,,,
6,4.3e-05,,,
7,3.9999999999999996e-05,,,
8,3.7e-05,,,
9,3.7999999999999995e-05,,,
10,4.0999999999999994e-05,,,
1,,1.9999999999999998e-05,,
2,,2.2e-05,,
3,,1.9e-05,,
4,,6e-05,,
5,,2.4999999999999998e-05,,
6,,2.8e-05,,
7,,2.1e-05,,
8,,2.2999999999999997e-05,,
9,,2.2e-05,,
10,,2.2999999999999997e-05,,
1,,,7.999999999999999e-05,
2,,,1.9e-05,
3,,,1.9e-05,
4,,,1.6e-05,
5,,,1.6e-05,
6,,,1.6e-05,
7,,,1.7e-05,
8,,,2.2e-05,
9,,,1.7e-05,
10,,,1.9999999999999998e-05,
1,,,,3.2e-05
2,,,,1.4e-05
3,,,,1.9e-05
4,,,,1.4e-05
5,,,,1.7e-05
6,,,,1.7e-05
7,,,,1.7999999999999997e-05
8,,,,1.8e-05
9,,,,1.9e-05
10,,,,1.7999999999999997e-05
1,6.6e-05,,,
2,3.9999999999999996e-05,,,
3,4.9e-05,,,
4,4.2e-05,,,
5,3.2e-05,,,
6,4.8e-05,,,
7,4.0999999999999994e-05,,,
8,4.3e-05,,,
9,3.7e-05,,,
10,4.4999999999999996e-05,,,
1,,2.1e-05,,
2,,2.1e-05,,
3,,2.4e-05,,
4,,2.2e-05,,
5,,2.3e-05,,
6,,2.6e-05,,
7,,3.7e-05,,
8,,2.1e-05,,
9,,2.4e-05,,
10,,2.4e-05,,
1,,,1.6e-05,
2,,,1.9999999999999998e-05,
3,,,1.8999999999999998e-05,
4,,,2.4e-05,
5,,,2.2e-05,
6,,,1.7999999999999997e-05,
7,,,1.8e-05,
8,,,1.7e-05,
9,,,0.000286,
10,,,1.8e-05,
1,,,,2.7999999999999996e-05
2,,,,1.6e-05
3,,,,1.7e-05
4,,,,1.7e-05
5,,,,2.3999999999999997e-05
6,,,,1.7e-05
7,,,,1.7e-05
8,,,,1.7e-05
9,,,,1.4e-05
10,,,,1.9e-05
1,8.999999999999999e-05,,,
2,0.00020299999999999997,,,
3,3.9e-05,,,
4,3.8e-05,,,
5,0.000118,,,
6,3.8e-05,,,
7,4.4e-05,,,
8,4.7e-05,,,
9,4.2e-05,,,
10,4.4e-05,,,
1,,1.9999999999999998e-05,,
2,,3.1e-05,,
3,,4.7e-05,,
4,,2.2e-05,,
5,,2.1000000000000002e-05,,
6,,2.9e-05,,
7,,1.7e-05,,
8,,2.8e-05,,
9,,1.9999999999999998e-05,,
10,,2.3e-05,,
1,,,1.7e-05,
2,,,1.9e-05,
3,,,2.1000000000000002e-05,
4,,,1.7e-05,
5,,,1.6e-05,
6,,,1.7e-05,
7,,,1.4e-05,
8,,,1.7e-05,
9,,,1.9999999999999998e-05,
10,,,2.2e-05,
1,,,,2.4999999999999998e-05
2,,,,1.9e-05
3,,,,1.4999999999999999e-05
4,,,,1.6e-05
5,,,,1.7e-05
6,,,,1.9e-05
7,,,,1.4999999999999999e-05
8,,,,1.6e-05
9,,,,1.7e-05
10,,,,1.7e-05
1,4.8e-05,,,
2,4.9e-05,,,
3,4.2e-05,,,
4,3.9e-05,,,
5,3.7e-05,,,
6,4.6e-05,,,
7,4.6e-05,,,
8,4.4999999999999996e-05,,,
9,4.1e-05,,,
10,4.3e-05,,,
1,,2.7e-05,,
2,,2.8e-05,,
3,,2.7e-05,,
4,,2.1e-05,,
5,,2.2e-05,,
6,,4.2e-05,,
7,,1.8999999999999998e-05,,
8,,2.6e-05,,
9,,1.9999999999999998e-05,,
10,,2.1e-05,,
1,,,1.7e-05,
2,,,2.4999999999999998e-05,
3,,,1.8e-05,
4,,,1.5e-05,
5,,,1.7e-05,
6,,,1.7e-05,
7,,,2.2e-05,
8,,,1.7e-05,
9,,,1.4999999999999999e-05,
10,,,2.3999999999999997e-05,
1,,,,2.7999999999999996e-05
2,,,,1.7e-05
3,,,,1.4999999999999999e-05
4,,,,1.6e-05
5,,,,1.9999999999999998e-05
6,,,,1.5e-05
7,,,,1.4999999999999999e-05
8,,,,1.9e-05
9,,,,0.00011699999999999998
10,,,,1.8e-05
1,5.3e-05,,,
2,3.9e-05,,,
3,3.9999999999999996e-05,,,
4,3.4e-05,,,
5,3.9e-05,,,
6,4.3e-05,,,
7,3.6e-05,,,
8,4.4e-05,,,
9,3.8e-05,,,
10,4.2e-05,,,
1,,1.9999999999999998e-05,,
2,,1.9999999999999998e-05,,
3,,2.3999999999999997e-05,,
4,,2.3999999999999997e-05,,
5,,2.7e-05,,
6,,1.8e-05,,
7,,3.2999999999999996e-05,,
8,,2.6e-05,,
9,,2.8e-05,,
10,,2.9999999999999997e-05,,
1,,,2.2e-05,
2,,,1.7e-05,
3,,,1.7e-05,
4,,,1.7e-05,
5,,,1.7e-05,
6,,,1.7999999999999997e-05,
7,,,1.8e-05,
8,,,1.7e-05,
9,,,1.7e-05,
10,,,2.2999999999999997e-05,
1,,,,2.7999999999999996e-05
2,,,,1.7e-05
3,,,,1.9e-05
4,,,,1.7e-05
5,,,,1.5e-05
6,,,,1.7e-05
7,,,,1.6e-05
8,,,,1.6e-05
9,,,,1.8e-05
10,,,,1.7e-05
1,3.8e-05,,,
2,3.7e-05,,,
3,5.4e-05,,,
4,4.9999999999999996e-05,,,
5,3.8e-05,,,
6,3.7e-05,,,
7,6.5e-05,,,
8,4.2e-05,,,
9,4.4e-05,,,
10,4.3e-05,,,
1,,1.8e-05,,
2,,1.8999999999999998e-05,,
3,,1.9999999999999998e-05,,
4,,1.8999999999999998e-05,,
5,,1.7e-05,,
6,,1.9e-05,,
7,,1.9999999999999998e-05,,
8,,1.7e-05,,
9,,2.1e-05,,
10,,4.2999999999999995e-05,,
1,,,1.4e-05,
2,,,1.8e-05,
3,,,1.4999999999999999e-05,
4,,,1.7e-05,
5,,,1.8e-05,
6,,,1.8e-05,
7,,,1.7999999999999997e-05,
8,,,2.3999999999999997e-05,
9,,,2e-05,
10,,,1.7999999999999997e-05,
1,,,,2.7999999999999996e-05
2,,,,1.6e-05
3,,,,1.6e-05
4,,,,1.7999999999999997e-05
5,,,,1.7e-05
6,,,,1.9999999999999998e-05
7,,,,1.9e-05
8,,,,1.6e-05
9,,,,1.9e-05
10,,,,1.4e-05
1,3.9999999999999996e-05,,,
2,5.099999999999999e-05,,,
3,4.2e-05,,,
4,3.7e-05,,,
5,3.9999999999999996e-05,,,
6,3.8e-05,,,
7,4.4999999999999996e-05,,,
8,3.8e-05,,,
9,3.9999999999999996e-05,,,
10,4.7000000000000004e-05,,,
1,,2.2e-05,,
2,,2.1e-05,,
3,,2.4e-05,,
4,,2.7e-05,,
5,,3.2999999999999996e-05,,
6,,4.1e-05,,
7,,2.4e-05,,
8,,1.9999999999999998e-05,,
9,,2.7e-05,,
10,,2.7e-05,,
1,,,1.4e-05,
2,,,1.9e-05,
3,,,1.8e-05,
4,,,1.7e-05,
5,,,2.1000000000000002e-05,
6,,,2.1e-05,
7,,,1.7e-05,
8,,,1.9e-05,
9,,,1.7e-05,
10,,,1.8e-05,
1,,,,2.6000000000000002e-05
2,,,,1.6e-05
3,,,,2.1e-05
4,,,,1.7e-05
5,,,,1.4999999999999999e-05
6,,,,1.7999999999999997e-05
7,,,,1.6e-05
8,,,,1.7e-05
9,,,,1.6e-05
10,,,,1.6e-05
1,5.2999999999999994e-05,,,
2,3.8e-05,,,
3,3.7e-05,,,
4,4.4e-05,,,
5,3.8e-05,,,
6,3.3e-05,,,
7,3.7e-05,,,
8,4.2e-05,,,
9,3.9999999999999996e-05,,,
10,4.0999999999999994e-05,,,
1,,1.9999999999999998e-05,,
2,,2.7e-05,,
3,,2.3e-05,,
4,,2.1e-05,,
5,,2.4999999999999998e-05,,
6,,1.9e-05,,
7,,2.8e-05,,
8,,2.3e-05,,
9,,1.9999999999999998e-05,,
10,,2.7999999999999996e-05,,
1,,,1.7e-05,
2,,,1.9e-05,
3,,,1.7e-05,
4,,,2.1000000000000002e-05,
5,,,1.9e-05,
6,,,1.6e-05,
7,,,1.7e-05,
8,,,1.7e-05,
9,,,1.8e-05,
10,,,1.7e-05,
1,,,,2.4999999999999998e-05
2,,,,1.9999999999999998e-05
3,,,,1.7e-05
4,,,,3.1e-05
5,,,,1.6e-05
6,,,,1.9999999999999998e-05
7,,,,1.6e-05
8,,,,1.3e-05
9,,,,1.5e-05
10,,,,3.1e-05
